date;sku;error
2023-03-10 17:41:27;BKS-RE-002;notFound
2023-03-10 17:44:14;BKS-RE-002;notFound
2023-03-10 17:45:02;BKS-RE-002;notFound
2023-03-10 17:45:37;BKS-RE-002;notFound
2023-03-10 17:47:16;BKS-RE-002;notFound
2023-03-10 17:48:36;BKS-RE-002;notFound
2023-03-10 17:51:31;BKS-RE-002;notFound
2023-03-10 17:54:54;BKS-RE-002;notFound
2023-03-10 17:59:07;BKS-RE-002;notFound
2023-03-10 18:11:37;BKS-RE-002;notFound
2023-03-10 18:12:31;BKS-RE-002;notFound
2023-03-10 18:14:00;BKS-RE-002;notFound
2023-03-13 09:34:43;22SKV031;notFound
2023-03-13 09:34:43;170408H800;notFound
2023-03-13 09:34:43;VITOA6393370310;notFound
2023-03-13 09:34:43;S5132008-S;notFound
2023-03-13 09:34:43;S5132016-S;notFound
2023-03-13 09:34:43;016-21101727;notFound
2023-03-13 09:34:43;016-20370927;notFound
2023-03-13 09:34:44;BKS-RE-002;notFound
2023-03-13 09:34:44;RM4014EW;notFound
2023-03-13 09:34:49;BKS-AU-001L;notFound
2023-03-13 09:34:49;BKS-AU-001L;notFound
2023-03-13 09:34:49;BKS-AU-001L;notFound
2023-03-13 09:34:49;BKS-AU-001L;notFound
2023-03-13 09:34:49;BKS-AU-001L;notFound
2023-03-13 09:34:49;BKS-AU-001R;notFound
2023-03-13 09:34:49;BKS-AU-001R;notFound
2023-03-13 09:34:49;BKS-AU-001R;notFound
2023-03-13 09:34:49;BKS-AU-001R;notFound
2023-03-13 09:34:49;BKS-AU-001R;notFound
2023-03-13 09:34:49;BKS-AU-001R;notFound
2023-03-13 09:34:49;22SKV031;notFound
2023-03-13 09:34:50;16SKV267;notFound
2023-03-13 09:34:50;22SKV031;notFound
2023-03-13 09:34:51;016-20370927;notFound
2023-03-13 09:34:51;22SKV031;notFound
2023-03-13 09:34:51;22SKV031;notFound
2023-03-13 09:34:52;S5132016-S;notFound
2023-03-13 09:34:54;16SKV267;notFound
2023-03-13 09:34:55;S5132008-S;notFound
2023-03-13 09:34:55;S5132016-S;notFound
2023-03-13 09:34:56;016-20370927;notFound
2023-03-13 09:34:56;S5132008-S;notFound
2023-03-13 09:34:56;S5132016-S;notFound
2023-03-13 09:34:56;22SKV031;notFound
